fitPtX 	 fitPtY 	 fitPtZ 	 LeftPupil_X 	 LeftPupil_Y 	 RightPupil_X 	 RightPupil_Y 
401.075091	284.692740	1260.834920	168.733586	154.634131	240.284169	131.037603
399.660479	285.058436	1260.726912	168.733335	154.620867	240.290484	131.028573
399.689698	285.416642	1260.492010	168.733085	154.607603	240.296800	131.019543
399.745920	286.230379	1259.928917	168.738089	154.597233	240.320281	131.022662
399.758732	286.964614	1259.235800	168.743093	154.586863	240.343761	131.025782
399.962837	287.683857	1258.607286	168.754686	154.578523	240.373195	131.033292
400.203485	288.436168	1257.989483	168.766279	154.570184	240.402628	131.040802
400.267374	288.766398	1257.721042	168.779599	154.561148	240.422980	131.044856
400.448435	289.069425	1257.426209	168.792919	154.552113	240.443333	131.048911
400.500564	289.438547	1257.163014	168.797851	154.538713	240.455533	131.048185
400.608149	289.830722	1256.933704	168.802782	154.525312	240.467734	131.047460
400.772168	290.548594	1256.381208	168.796084	154.510382	240.477017	131.037376
400.859964	291.285555	1255.840884	168.789387	154.495451	240.486301	131.027293
400.817126	291.805568	1255.449633	168.782297	154.485748	240.489898	130.998192
400.787998	292.358983	1255.101426	168.775207	154.476045	240.493495	130.969090
400.880745	292.158551	1255.253999	168.778217	154.474085	240.488345	130.921041
400.994783	291.996437	1255.470102	168.781227	154.472124	240.483195	130.872992
400.989554	291.308832	1255.935045	168.793882	154.472692	240.476989	130.825951
401.106156	290.821510	1256.567361	168.806537	154.473260	240.470784	130.778910
401.251223	290.471417	1256.936352	168.822835	154.464420	240.474401	130.755033
401.219559	290.092214	1257.272829	168.839133	154.455579	240.478018	130.731156
401.216036	290.267582	1257.367868	168.852330	154.431062	240.490002	130.730590
401.308851	290.430546	1257.451032	168.865526	154.406545	240.501987	130.730024
401.244994	290.761739	1257.325622	168.871599	154.376360	240.512324	130.739092
401.096505	291.093658	1257.205533	168.877672	154.346175	240.522662	130.748159
401.137237	291.415638	1257.015607	168.875980	154.326081	240.526466	130.755058
401.077540	291.693701	1256.781146	168.874287	154.305987	240.530271	130.761956
401.014167	291.871286	1256.689934	168.867911	154.301778	240.526604	130.754089
400.919483	291.980652	1256.544451	168.861535	154.297569	240.522937	130.746222
400.838996	291.533669	1256.704545	168.857124	154.304193	240.508570	130.715993
400.919593	291.230852	1256.998226	168.852714	154.310817	240.494203	130.685764
400.855680	290.320994	1257.614669	168.852969	154.317599	240.470869	130.642886
400.843615	289.440556	1258.227367	168.853223	154.324382	240.447534	130.600009
400.723491	288.896174	1258.842010	168.853689	154.317717	240.429325	130.566354
400.705172	288.326643	1259.395891	168.854155	154.311053	240.411116	130.532700
400.816919	288.566332	1259.166488	168.850430	154.286089	240.410999	130.520955
400.743353	288.920502	1259.077458	168.846705	154.261125	240.410882	130.509210
400.772665	289.890592	1258.475072	168.840318	154.230306	240.423506	130.509224
400.621154	290.675253	1257.726490	168.833930	154.199487	240.436131	130.509237
400.675235	291.289486	1257.331574	168.833123	154.179191	240.447049	130.506282
400.657881	291.835061	1256.843231	168.832315	154.158895	240.457967	130.503328
400.678073	291.357047	1256.929355	168.847023	154.156542	240.462790	130.499065
400.707201	291.082335	1257.247504	168.861731	154.154188	240.467613	130.494801
400.790348	289.987188	1257.798651	168.890075	154.166978	240.471705	130.498672
400.809257	288.968087	1258.452213	168.918419	154.179767	240.475798	130.502543
400.843236	288.212773	1258.712985	168.938275	154.196934	240.481469	130.520844
400.863831	287.498883	1259.015383	168.958132	154.214100	240.487140	130.539144
400.657517	287.766120	1258.517419	168.945933	154.226564	240.487198	130.568391
400.569714	288.049240	1258.015874	168.933735	154.239028	240.487255	130.597638
400.566033	288.891929	1257.202626	168.897652	154.245941	240.475285	130.615975
