fitPtX 	 fitPtY 	 fitPtZ 	 LeftPupil_X 	 LeftPupil_Y 	 RightPupil_X 	 RightPupil_Y 
1809.451721	-478.761072	2814.450386	NaN	NaN	NaN	NaN
1809.376197	-478.718604	2814.349139	NaN	NaN	NaN	NaN
1809.590329	-479.750963	2813.663817	NaN	NaN	NaN	NaN
1809.899732	-480.553776	2812.917270	NaN	NaN	NaN	NaN
1810.078636	-481.194057	2812.376905	NaN	NaN	NaN	NaN
1810.006499	-481.962255	2811.770329	NaN	NaN	NaN	NaN
1810.851758	-482.321628	2811.197209	NaN	NaN	NaN	NaN
1811.382788	-483.157506	2810.592042	NaN	NaN	NaN	NaN
1811.874634	-483.712189	2810.090911	NaN	NaN	NaN	NaN
1812.182100	-484.396566	2809.772566	NaN	NaN	NaN	NaN
1812.582866	-485.106850	2809.331729	NaN	NaN	NaN	NaN
1812.946449	-485.482383	2809.028018	NaN	NaN	NaN	NaN
1813.232778	-485.990004	2808.805125	NaN	NaN	NaN	NaN
1813.447860	-486.605247	2808.739970	NaN	NaN	NaN	NaN
1813.409480	-486.789908	2808.414278	NaN	NaN	NaN	NaN
1813.254130	-487.094864	2808.315992	NaN	NaN	NaN	NaN
1813.087791	-487.434245	2808.226710	NaN	NaN	NaN	NaN
1813.070281	-487.421343	2808.036025	NaN	NaN	NaN	NaN
1812.975575	-487.566946	2807.905526	NaN	NaN	NaN	NaN
1812.728189	-487.498088	2808.000695	NaN	NaN	NaN	NaN
1812.488775	-487.346171	2808.083283	NaN	NaN	NaN	NaN
1811.934640	-487.742326	2808.132391	NaN	NaN	NaN	NaN
1811.654567	-487.390756	2808.017933	NaN	NaN	NaN	NaN
1811.369098	-487.171343	2808.134760	NaN	NaN	NaN	NaN
1810.975027	-487.090759	2808.369048	NaN	NaN	NaN	NaN
1810.883096	-486.678585	2808.452376	NaN	NaN	NaN	NaN
1810.528667	-486.329343	2808.838331	NaN	NaN	NaN	NaN
1809.953595	-486.063853	2809.025987	NaN	NaN	NaN	NaN
1809.297078	-485.391216	2809.451202	NaN	NaN	NaN	NaN
1809.050805	-484.642155	2809.674092	NaN	NaN	NaN	NaN
1808.986007	-483.683416	2809.733701	NaN	NaN	NaN	NaN
1808.213386	-482.628775	2809.794265	NaN	NaN	NaN	NaN
1807.426576	-481.579929	2809.851721	NaN	NaN	NaN	NaN
1807.742605	-480.258176	2809.173356	NaN	NaN	NaN	NaN
1823.597691	-482.360156	2821.832194	191.617814	197.488721	238.859592	156.673006
1820.870394	-480.771948	2821.077067	191.550174	197.754384	238.882275	156.821337
1818.303137	-479.008539	2820.254582	191.482534	198.020048	238.904958	156.969667
1819.948888	-478.146284	2820.756328	191.476312	198.094448	238.897227	157.061988
1821.316639	-477.929354	2821.403929	191.470091	198.168849	238.889496	157.154310
1827.580387	-478.565523	2824.448232	191.522587	198.110620	238.856575	157.185122
1833.876632	-479.172737	2827.554931	191.575084	198.052391	238.823653	157.215935
1840.742459	-479.909559	2831.231204	191.645752	197.954142	238.793718	157.205348
1847.601402	-480.488637	2835.057896	191.716419	197.855892	238.763783	157.194760
1849.777914	-480.777410	2836.270599	191.747456	197.777034	238.751002	157.170455
1852.201958	-480.478710	2837.301556	191.778493	197.698175	238.738220	157.146150
1850.317097	-479.900474	2836.740409	191.757317	197.661994	238.727258	157.128923
1848.899405	-478.990167	2835.660679	191.736141	197.625812	238.716297	157.111697
1848.492447	-478.706751	2835.999607	191.713647	197.628812	238.699040	157.102065
1848.354605	-477.968774	2836.128418	191.691153	197.631811	238.681783	157.092433
1849.524433	-477.566575	2837.158449	191.701875	197.640700	238.682564	157.076776
1850.550485	-477.501387	2838.270982	191.712598	197.649589	238.683346	157.061119
1846.806040	-476.468613	2835.917248	191.734177	197.637367	238.739493	157.040893
1843.053757	-475.230530	2833.648634	191.755757	197.625144	238.795640	157.020667
1832.556375	-472.947406	2826.912308	191.759619	197.608127	238.902810	157.016487
1822.027800	-470.685773	2820.333915	191.763482	197.591110	239.009980	157.012307
1811.782188	-468.390967	2814.123865	191.739472	197.596035	239.092950	157.029068
1801.845880	-465.967718	2807.661540	191.715463	197.600960	239.175920	157.045829
1798.558552	-464.767408	2806.072345	191.668388	197.616422	239.169495	157.058726
1795.518675	-463.558943	2804.166771	191.621313	197.631884	239.163069	157.071624
1798.231576	-463.561663	2806.357374	191.580261	197.625680	239.095531	157.063982
1801.192667	-463.617094	2808.229423	191.539209	197.619476	239.027993	157.056340
1805.606995	-464.063459	2811.036484	191.531501	197.588780	238.968312	157.044115
1810.112608	-464.668305	2813.732076	191.523792	197.558083	238.908631	157.031889
1812.178016	-465.107647	2814.728871	191.543605	197.537830	238.900395	157.035181
1814.252901	-465.492798	2815.744879	191.563418	197.517576	238.892159	157.038472
1810.430364	-464.892045	2813.449541	191.593429	197.544531	238.963046	157.055557
1806.696662	-464.401384	2811.027600	191.623441	197.571485	239.033933	157.072641
1799.176272	-463.442942	2807.040432	191.658835	197.644736	239.157445	157.087882
1792.061500	-462.199872	2802.684687	191.694229	197.717987	239.280957	157.103122
1791.300048	-462.388168	2803.026045	191.734932	197.797146	239.342101	157.104245
1790.648395	-462.518296	2803.269929	191.775634	197.876305	239.403244	157.105368
1801.376929	-464.386492	2810.509354	191.809390	197.924569	239.333153	157.098294
1812.033160	-466.469798	2817.894448	191.843147	197.972833	239.263063	157.091221
1824.324667	-468.484991	2825.917393	191.847552	197.992170	239.143715	157.096887
1837.073877	-470.391788	2833.518307	191.851958	198.011508	239.024368	157.102553
1841.605711	-471.009573	2836.291481	191.834121	198.021113	238.962596	157.130574
1846.305519	-471.776254	2838.821128	191.816284	198.030718	238.900824	157.158595
1845.833353	-471.685323	2838.138765	191.817142	198.032363	238.904655	157.197713
1845.452005	-471.702364	2837.333611	191.817999	198.034008	238.908486	157.236830
1845.169157	-471.654592	2836.271440	191.846004	198.026910	238.934605	157.276530
1844.617335	-472.028335	2835.470058	191.874010	198.019813	238.960725	157.316231
1842.535163	-471.255517	2832.974260	191.886598	198.016727	238.994450	157.359471
1840.099176	-471.253514	2830.736875	191.899187	198.013642	239.028174	157.402710
1833.102567	-469.989552	2825.911766	191.864071	198.026863	239.069657	157.447730
1826.168572	-468.788122	2821.002747	191.828956	198.040085	239.111139	157.492750
1819.786868	-467.328686	2817.040161	191.769110	198.066949	239.128436	157.518547
1813.446789	-466.283443	2812.941257	191.709265	198.093813	239.145733	157.544345
1813.029054	-465.906228	2812.537522	191.675435	198.109473	239.126289	157.537296
1812.066106	-466.001999	2812.729198	191.641604	198.125134	239.106844	157.530248
1812.808425	-466.351281	2813.535164	191.645460	198.111907	239.098309	157.515230
1813.735701	-466.587439	2814.143822	191.649315	198.098680	239.089774	157.500213
1811.638384	-466.313940	2812.306429	191.656844	198.078685	239.114146	157.511030
1809.453101	-466.156687	2810.548865	191.664373	198.058691	239.138517	157.521847
1804.212252	-465.573275	2806.976178	191.649774	198.071617	239.180749	157.555665
1798.939462	-464.984548	2803.496265	191.635175	198.084544	239.222981	157.589484
1792.149158	-463.838888	2799.119641	191.601099	198.144892	239.277074	157.622991
1785.001196	-463.028455	2795.163810	191.567023	198.205240	239.331167	157.656497
1782.656617	-462.622132	2794.148277	191.530864	198.286637	239.341298	157.681893
1780.092972	-462.261563	2793.415634	191.494704	198.368034	239.351430	157.707288
1789.388222	-464.096848	2799.572830	191.478553	198.433125	239.253163	157.732363
1798.707153	-465.645442	2805.894868	191.462401	198.498217	239.154895	157.757437
1814.835163	-468.599507	2816.252702	191.475779	198.539066	239.006417	157.785859
1831.202913	-471.627572	2826.530356	191.489158	198.579915	238.857939	157.814281
1840.684610	-473.360599	2832.129853	191.504993	198.614306	238.783841	157.837589
1849.812525	-475.727577	2838.086381	191.520829	198.648698	238.709743	157.860898
1842.498735	-474.536838	2833.611949	191.489407	198.685848	238.764459	157.872499
1835.283668	-473.485334	2829.056762	191.457985	198.722999	238.819175	157.884101
1815.941943	-470.119625	2817.175598	191.367933	198.748461	238.943196	157.892199
1796.831871	-466.722783	2805.381877	191.277881	198.773924	239.067216	157.900297
1782.545546	-464.420781	2796.477480	191.178795	198.769802	239.125796	157.915067
1768.640506	-461.418289	2787.500706	191.079708	198.765680	239.184377	157.929838
1770.767254	-461.714933	2788.509430	191.029003	198.736506	239.108852	157.942281
1772.988527	-461.937281	2789.448553	190.978298	198.707331	239.033328	157.954723
1784.970128	-463.943591	2796.581218	190.987720	198.674684	238.908966	157.946931
1796.583689	-466.336919	2804.247536	190.997143	198.642037	238.784604	157.939138
1805.589122	-467.911058	2809.586003	191.034097	198.616711	238.720730	157.913261
1814.547596	-469.439288	2815.105861	191.071052	198.591384	238.656855	157.887385
1816.554860	-470.077623	2816.864738	191.098604	198.570434	238.653821	157.865533
1818.921048	-470.457486	2818.242752	191.126156	198.549485	238.650786	157.843682
1819.164019	-470.372202	2818.380114	191.131752	198.539960	238.651237	157.838586
1819.155373	-470.305885	2818.825475	191.137347	198.530436	238.651687	157.833490
1819.663652	-470.001409	2819.235547	191.122872	198.545556	238.637952	157.830531
1819.997741	-469.708485	2819.881620	191.108397	198.560676	238.624218	157.827572
1818.317064	-469.206097	2819.746075	191.077165	198.587847	238.618524	157.810579
1816.838064	-468.459496	2819.444005	191.045934	198.615018	238.612831	157.793587
1812.994038	-467.279826	2817.989454	191.012899	198.621963	238.622950	157.774010
1809.236810	-466.273164	2816.388105	190.979864	198.628909	238.633069	157.754433
1805.782903	-465.218637	2814.358752	190.964474	198.612620	238.651005	157.749419
1802.490318	-464.195125	2812.116749	190.949083	198.596331	238.668941	157.744405
1797.998417	-463.060814	2809.485130	190.949229	198.588859	238.712491	157.749404
1793.646696	-462.089566	2806.650556	190.949374	198.581386	238.756041	157.754403
1785.840190	-460.443373	2802.047087	190.954001	198.597463	238.845408	157.752381
1778.118485	-458.925821	2797.386801	190.958628	198.613540	238.934775	157.750359
1770.575626	-457.617551	2792.880519	190.972349	198.630950	239.032276	157.733177
1762.783399	-456.286603	2788.795415	190.986070	198.648360	239.129777	157.715994
1761.266967	-456.079197	2787.839589	191.009818	198.639340	239.166751	157.693552
1759.582292	-456.012435	2787.084020	191.033566	198.630320	239.203726	157.671110
1765.721070	-457.064742	2790.683583	191.048398	198.596962	239.144063	157.661772
1771.611468	-458.228000	2794.640115	191.063230	198.563603	239.084401	157.652434
1782.567110	-459.962593	2800.638993	191.059381	198.540513	238.961221	157.672841
1793.123431	-461.737801	2807.259352	191.055533	198.517424	238.838040	157.693249
1800.016316	-462.914704	2811.220953	191.053201	198.520962	238.761154	157.743150
1807.239863	-463.987830	2814.865375	191.050869	198.524501	238.684267	157.793052
1805.319590	-463.717982	2813.429284	191.068261	198.531185	238.717619	157.836152
1803.482928	-463.432551	2811.911311	191.085652	198.537869	238.750971	157.879251
1800.215260	-462.880547	2809.622958	191.104901	198.531051	238.801302	157.878204
1796.809986	-462.250689	2807.531940	191.124150	198.524232	238.851633	157.877157
1798.446624	-462.354524	2808.885424	191.113582	198.510867	238.823221	157.845983
1800.118192	-462.387216	2810.227978	191.103013	198.497503	238.794810	157.814809
1800.640921	-462.217621	2810.841196	191.066437	198.489001	238.755775	157.792405
1800.891440	-462.071432	2811.766394	191.029860	198.480500	238.716739	157.770002
1796.399162	-461.097111	2808.959019	191.012331	198.488628	238.750848	157.766003
1791.740822	-460.185083	2806.358400	190.994801	198.496756	238.784957	157.762003
1791.935689	-460.321807	2806.970729	191.026599	198.523026	238.815671	157.761116
1792.402383	-460.191605	2807.309730	191.058396	198.549296	238.846385	157.760229
1804.808515	-462.467895	2815.334006	191.116897	198.564502	238.772218	157.755421
1817.271298	-464.559408	2823.480201	191.175399	198.579708	238.698050	157.750613
1832.379926	-467.089139	2832.794310	191.221301	198.546009	238.575459	157.745654
1847.620567	-469.671098	2842.171473	191.267203	198.512309	238.452868	157.740694
1850.796143	-470.182783	2843.986523	191.285163	198.443722	238.419612	157.730333
1854.146587	-470.484489	2845.655058	191.303123	198.375134	238.386356	157.719972
1842.521142	-468.624135	2838.375716	191.298640	198.326138	238.488781	157.696426
1831.071422	-466.552572	2831.045210	191.294157	198.277141	238.591205	157.672879
1813.579530	-463.536063	2820.642806	191.286235	198.269186	238.760928	157.647435
1796.289007	-460.848984	2810.212486	191.278313	198.261231	238.930650	157.621991
1780.742217	-458.136609	2800.530482	191.288033	198.278170	239.106684	157.614100
1764.923808	-455.629500	2791.396832	191.297752	198.295110	239.282718	157.606210
1750.989915	-453.333749	2782.441077	191.315478	198.325698	239.454559	157.617989
1812.813626	-451.770811	2817.968303	191.333205	198.356286	239.626400	157.629769
1812.740964	-461.906703	2817.869638	191.317998	198.394270	239.746122	157.645881
1812.586991	-461.809620	2818.036625	191.302791	198.432253	239.865845	157.661993
1812.482617	-461.851397	2818.057887	191.234342	198.459183	239.855998	157.670119
1812.293647	-461.998501	2818.154946	191.165894	198.486114	239.846152	157.678245
1812.519874	-461.837974	2817.785668	191.072507	198.488132	239.703215	157.682562
1812.406751	-461.728755	2817.834666	190.979120	198.490151	239.560279	157.686878
1812.103153	-461.592668	2817.632365	190.905083	198.477838	239.371282	157.696713
1811.829863	-461.675800	2817.340196	190.831046	198.465524	239.182284	157.706547
1749.792833	-450.909119	2783.273340	190.800571	198.460455	239.033131	157.719060
1761.142139	-452.598405	2790.153298	190.770096	198.455385	238.883978	157.731573
1769.791023	-454.167869	2795.336245	190.786410	198.459519	238.808371	157.738794
1778.554952	-455.552790	2800.486605	190.802724	198.463653	238.732764	157.746015
1782.143431	-456.564462	2802.756850	190.854244	198.454031	238.736886	157.748500
1785.960401	-457.427720	2804.815367	190.905764	198.444408	238.741007	157.750985
1786.728606	-457.907221	2804.664883	190.963266	198.406752	238.776197	157.750865
1787.371675	-458.345826	2804.669202	191.020767	198.369095	238.811386	157.750745
1790.056459	-459.135221	2805.887850	191.055177	198.304378	238.798322	157.745598
1792.857386	-459.815312	2807.009336	191.089587	198.239660	238.785257	157.740451
1796.504187	-460.489246	2809.013291	191.094743	198.152028	238.730062	157.730531
1800.410125	-461.179918	2810.746993	191.099899	198.064395	238.674867	157.720611
1798.691756	-460.825535	2809.337206	191.081971	197.990296	238.659063	157.713378
1797.047436	-460.427256	2807.863150	191.064043	197.916198	238.643260	157.706145
1789.313426	-459.033596	2803.007821	191.033851	197.920390	238.697362	157.712172
1781.461127	-457.545748	2798.382128	191.003658	197.924582	238.751464	157.718199
1777.037445	-456.633022	2796.240015	190.981247	198.024830	238.799055	157.747985
1772.571389	-455.602664	2794.218483	190.958835	198.125079	238.846646	157.777770
1778.593795	-456.706087	2798.479540	190.955049	198.257039	238.807046	157.843646
1784.672084	-457.415640	2802.796173	190.951262	198.389000	238.767446	157.909522
1795.781762	-459.129405	2809.391976	190.956578	198.473544	238.672010	158.004883
1806.880500	-460.790066	2816.124046	190.961893	198.558089	238.576575	158.100244
1814.304158	-461.670364	2819.756424	190.965195	198.578573	238.505923	158.183727
1821.856409	-462.818252	2823.264345	190.968497	198.599058	238.435270	158.267211
1823.766414	-463.172336	2823.857778	190.968667	198.589215	238.412582	158.306412
1825.600712	-463.622588	2824.526399	190.968837	198.579372	238.389894	158.345614
1825.196618	-463.658421	2823.795492	190.968114	198.568500	238.392463	158.350685
1824.738054	-463.623303	2823.146733	190.967391	198.557628	238.395033	158.355757
