fitPtX 	 fitPtY 	 fitPtZ 	 LeftPupil_X 	 LeftPupil_Y 	 RightPupil_X 	 RightPupil_Y 
404.708210	303.355686	1229.447165	NaN	NaN	NaN	NaN
404.688805	303.418107	1229.289640	NaN	NaN	NaN	NaN
404.740293	303.634131	1229.348739	NaN	NaN	NaN	NaN
404.750454	303.761942	1229.478755	NaN	NaN	NaN	NaN
404.771971	303.886284	1229.607710	NaN	NaN	NaN	NaN
404.767841	304.121244	1229.768162	NaN	NaN	NaN	NaN
404.633244	304.092990	1229.856042	NaN	NaN	NaN	NaN
404.608097	304.185377	1230.047334	NaN	NaN	NaN	NaN
404.513174	304.231799	1230.207834	NaN	NaN	NaN	NaN
404.533504	304.336355	1230.397121	NaN	NaN	NaN	NaN
404.498051	304.457569	1230.618760	NaN	NaN	NaN	NaN
404.482837	304.414962	1230.846569	NaN	NaN	NaN	NaN
404.521280	304.444264	1231.140811	NaN	NaN	NaN	NaN
404.575827	304.457922	1231.394288	NaN	NaN	NaN	NaN
404.634077	304.662743	1231.309036	NaN	NaN	NaN	NaN
404.712931	304.907222	1231.249471	NaN	NaN	NaN	NaN
404.813749	305.176653	1231.199533	NaN	NaN	NaN	NaN
404.843765	305.265382	1231.148452	NaN	NaN	NaN	NaN
404.903321	305.449159	1231.189749	NaN	NaN	NaN	NaN
404.995892	305.585537	1231.172640	NaN	NaN	NaN	NaN
405.052405	305.712017	1231.135566	NaN	NaN	NaN	NaN
405.248493	305.967517	1231.170917	NaN	NaN	NaN	NaN
405.168813	306.079561	1231.084863	NaN	NaN	NaN	NaN
405.164538	306.303796	1231.008662	NaN	NaN	NaN	NaN
405.260691	306.534020	1230.936518	NaN	NaN	NaN	NaN
405.226670	306.623276	1230.774575	NaN	NaN	NaN	NaN
405.348308	306.743113	1230.584772	NaN	NaN	NaN	NaN
405.399594	306.848791	1230.453940	NaN	NaN	NaN	NaN
405.421438	306.923482	1230.294754	NaN	NaN	NaN	NaN
405.343226	307.057407	1230.181276	NaN	NaN	NaN	NaN
405.172219	307.137286	1230.016489	NaN	NaN	NaN	NaN
404.967801	307.285316	1229.892819	NaN	NaN	NaN	NaN
404.766397	307.393711	1229.734197	NaN	NaN	NaN	NaN
404.365472	307.341059	1229.437218	NaN	NaN	NaN	NaN
404.729010	304.705878	1237.135772	191.617814	197.488721	238.859592	156.673006
404.284862	306.100066	1234.141349	191.550174	197.754384	238.882275	156.821337
403.750747	307.459621	1231.111633	191.482534	198.020048	238.904958	156.969667
403.514487	306.711510	1230.882105	191.476312	198.094448	238.897227	157.061988
403.501402	306.117793	1230.743367	191.470091	198.168849	238.889496	157.154310
403.656174	303.701197	1232.991722	191.522587	198.110620	238.856575	157.185122
403.824131	301.256223	1235.181122	191.575084	198.052391	238.823653	157.215935
404.073256	298.741161	1237.745602	191.645752	197.954142	238.793718	157.205348
404.313366	296.202298	1240.248964	191.716419	197.855892	238.763783	157.194760
404.562906	295.329425	1241.434450	191.747456	197.777034	238.751002	157.170455
404.588313	294.320820	1242.487529	191.778493	197.698175	238.738220	157.146150
404.710372	294.717210	1242.292014	191.757317	197.661994	238.727258	157.128923
404.575177	295.009118	1242.020900	191.736141	197.625812	238.716297	157.111697
404.615691	295.225349	1241.795036	191.713647	197.628812	238.699040	157.102065
404.416729	295.376791	1241.566851	191.691153	197.631811	238.681783	157.092433
404.340155	295.247261	1241.609320	191.701875	197.640700	238.682564	157.076776
404.389388	295.137650	1241.660783	191.712598	197.649589	238.683346	157.061119
404.498966	296.174311	1240.550500	191.734177	197.637367	238.739493	157.040893
404.539120	297.212822	1239.467260	191.755757	197.625144	238.795640	157.020667
404.729365	299.803522	1236.582055	191.759619	197.608127	238.902810	157.016487
404.876573	302.530417	1233.834747	191.763482	197.591110	239.009980	157.012307
404.955159	305.188908	1231.005373	191.739472	197.596035	239.092950	157.029068
404.911190	307.797909	1228.113286	191.715463	197.600960	239.175920	157.045829
404.771402	308.662514	1227.044686	191.668388	197.616422	239.169495	157.058726
404.519167	309.520232	1225.956155	191.621313	197.631884	239.163069	157.071624
404.309538	308.804011	1226.749521	191.580261	197.625680	239.095531	157.063982
404.000941	308.083243	1227.549345	191.539209	197.619476	239.027993	157.056340
403.882798	306.757701	1228.991878	191.531501	197.588780	238.968312	157.044115
403.744925	305.499677	1230.506402	191.523792	197.558083	238.908631	157.031889
403.815743	304.827926	1231.291519	191.543605	197.537830	238.900395	157.035181
403.895236	304.134014	1232.049262	191.563418	197.517576	238.892159	157.038472
404.068359	305.200762	1230.832221	191.593429	197.544531	238.963046	157.055557
404.222481	306.286646	1229.633623	191.623441	197.571485	239.033933	157.072641
404.570438	308.695821	1226.989751	191.658835	197.644736	239.157445	157.087882
404.679870	311.032180	1224.290113	191.694229	197.717987	239.280957	157.103122
404.856614	311.728754	1223.365189	191.734932	197.797146	239.342101	157.104245
404.995811	312.445689	1222.432052	191.775634	197.876305	239.403244	157.105368
404.881988	309.818894	1224.932662	191.809390	197.924569	239.333153	157.098294
404.873265	307.232428	1227.438351	191.843147	197.972833	239.263063	157.091221
404.672787	303.917226	1230.651112	191.847552	197.992170	239.143715	157.096887
404.248062	300.662534	1233.878600	191.851958	198.011508	239.024368	157.102553
404.094477	299.296262	1235.135980	191.834121	198.021113	238.962596	157.130574
403.872536	297.964152	1236.426191	191.816284	198.030718	238.900824	157.158595
403.883902	297.831540	1236.489325	191.817142	198.032363	238.904655	157.197713
403.866458	297.719022	1236.593107	191.817999	198.034008	238.908486	157.236830
403.888029	297.441324	1236.711289	191.846004	198.026910	238.934605	157.276530
404.096310	297.358301	1236.966529	191.874010	198.019813	238.960725	157.316231
403.946637	297.559432	1236.465488	191.886598	198.016727	238.994450	157.359471
404.046737	297.984631	1236.147488	191.899187	198.013642	239.028174	157.402710
403.980123	299.698176	1234.401523	191.864071	198.026863	239.069657	157.447730
403.907379	301.352496	1232.585133	191.828956	198.040085	239.111139	157.492750
403.645327	303.103088	1230.745616	191.769110	198.066949	239.128436	157.518547
403.445023	304.942900	1228.945359	191.709265	198.093813	239.145733	157.544345
403.129564	305.243597	1228.576703	191.675435	198.109473	239.126289	157.537296
403.130553	305.724108	1228.350333	191.641604	198.125134	239.106844	157.530248
403.200721	305.544831	1228.730776	191.645460	198.111907	239.098309	157.515230
403.166583	305.307978	1229.086970	191.649315	198.098680	239.089774	157.500213
403.211428	305.686699	1228.755738	191.656844	198.078685	239.114146	157.511030
403.315868	306.106746	1228.444442	191.664373	198.058691	239.138517	157.521847
